id,email,username,user_type
1,a@a.com,alpha,super_admin
2,a@w.com,waiter alpha,waiter
3,a@u.com,user one,user
4,a@o.com,owner,restaurant_owner
7,owner1@example.com,owner1234,restaurant_owner
8,seeded.user.1@example.com,seeded_user_1,user
9,seeded.user.2@example.com,seeded_user_2,user
10,seeded.user.3@example.com,seeded_user_3,user
11,seeded.user.4@example.com,seeded_user_4,user
12,seeded.user.5@example.com,seeded_user_5,user
13,seeded.user.6@example.com,seeded_user_6,user
14,seeded.user.7@example.com,seeded_user_7,user
15,seeded.user.8@example.com,seeded_user_8,user
16,seeded.user.9@example.com,seeded_user_9,user
17,seeded.user.10@example.com,seeded_user_10,user
18,seeded.user.11@example.com,seeded_user_11,user
19,seeded.user.12@example.com,seeded_user_12,user
20,seeded.user.13@example.com,seeded_user_13,user
21,seeded.user.14@example.com,seeded_user_14,user
22,seeded.user.15@example.com,seeded_user_15,user
23,seeded.user.16@example.com,seeded_user_16,user
24,seeded.user.17@example.com,seeded_user_17,user
25,seeded.user.18@example.com,seeded_user_18,user
26,seeded.user.19@example.com,seeded_user_19,user
27,seeded.user.20@example.com,seeded_user_20,user
28,seeded.user.21@example.com,seeded_user_21,user
29,seeded.user.22@example.com,seeded_user_22,user
30,seeded.user.23@example.com,seeded_user_23,user
31,seeded.user.24@example.com,seeded_user_24,user
32,seeded.user.25@example.com,seeded_user_25,user
33,seeded.user.26@example.com,seeded_user_26,user
34,seeded.user.27@example.com,seeded_user_27,user
35,seeded.user.28@example.com,seeded_user_28,user
36,seeded.user.29@example.com,seeded_user_29,user
37,seeded.user.30@example.com,seeded_user_30,user
38,seeded.user.31@example.com,seeded_user_31,user
39,seeded.user.32@example.com,seeded_user_32,user
40,seeded.user.33@example.com,seeded_user_33,user
41,seeded.user.34@example.com,seeded_user_34,user
42,seeded.user.35@example.com,seeded_user_35,user
43,seeded.user.36@example.com,seeded_user_36,user
44,seeded.user.37@example.com,seeded_user_37,user
45,seeded.user.38@example.com,seeded_user_38,user
46,seeded.user.39@example.com,seeded_user_39,user
47,seeded.user.40@example.com,seeded_user_40,user
48,seeded.user.41@example.com,seeded_user_41,user
49,seeded.user.42@example.com,seeded_user_42,user
50,seeded.user.43@example.com,seeded_user_43,user
51,seeded.user.44@example.com,seeded_user_44,user
52,seeded.user.45@example.com,seeded_user_45,user
53,seeded.user.46@example.com,seeded_user_46,user
54,seeded.user.47@example.com,seeded_user_47,user
55,seeded.user.48@example.com,seeded_user_48,user
56,seeded.user.49@example.com,seeded_user_49,user
57,seeded.user.50@example.com,seeded_user_50,user
58,seeded.user.51@example.com,seeded_user_51,user
59,seeded.user.52@example.com,seeded_user_52,user
60,seeded.user.53@example.com,seeded_user_53,user
61,seeded.user.54@example.com,seeded_user_54,user
62,seeded.user.55@example.com,seeded_user_55,user
63,seeded.user.56@example.com,seeded_user_56,user
64,seeded.user.57@example.com,seeded_user_57,user
65,seeded.user.58@example.com,seeded_user_58,user
66,seeded.user.59@example.com,seeded_user_59,user
67,seeded.user.60@example.com,seeded_user_60,user
68,seeded.user.61@example.com,seeded_user_61,user
69,seeded.user.62@example.com,seeded_user_62,user
70,seeded.user.63@example.com,seeded_user_63,user
71,seeded.user.64@example.com,seeded_user_64,user
72,seeded.user.65@example.com,seeded_user_65,user
73,seeded.user.66@example.com,seeded_user_66,user
74,seeded.user.67@example.com,seeded_user_67,user
75,seeded.user.68@example.com,seeded_user_68,user
76,seeded.user.69@example.com,seeded_user_69,user
77,seeded.user.70@example.com,seeded_user_70,user
78,seeded.user.71@example.com,seeded_user_71,user
79,seeded.user.72@example.com,seeded_user_72,user
80,seeded.user.73@example.com,seeded_user_73,user
81,seeded.user.74@example.com,seeded_user_74,user
82,seeded.user.75@example.com,seeded_user_75,user
83,seeded.user.76@example.com,seeded_user_76,user
84,seeded.user.77@example.com,seeded_user_77,user
85,seeded.user.78@example.com,seeded_user_78,user
86,seeded.user.79@example.com,seeded_user_79,user
87,seeded.user.80@example.com,seeded_user_80,user
88,seeded.user.81@example.com,seeded_user_81,user
89,seeded.user.82@example.com,seeded_user_82,user
90,seeded.user.83@example.com,seeded_user_83,user
91,seeded.user.84@example.com,seeded_user_84,user
92,seeded.user.85@example.com,seeded_user_85,user
93,seeded.user.86@example.com,seeded_user_86,user
94,seeded.user.87@example.com,seeded_user_87,user
95,seeded.user.88@example.com,seeded_user_88,user
96,seeded.user.89@example.com,seeded_user_89,user
97,seeded.user.90@example.com,seeded_user_90,user
98,seeded.user.91@example.com,seeded_user_91,user
99,seeded.user.92@example.com,seeded_user_92,user
100,seeded.user.93@example.com,seeded_user_93,user
101,seeded.user.94@example.com,seeded_user_94,user
102,seeded.user.95@example.com,seeded_user_95,user
103,seeded.user.96@example.com,seeded_user_96,user
104,seeded.user.97@example.com,seeded_user_97,user
105,seeded.user.98@example.com,seeded_user_98,user
106,seeded.user.99@example.com,seeded_user_99,user
107,seeded.user.100@example.com,seeded_user_100,user
