id,email,username,user_type,user_id,total_spent,order_count,cluster
1,a@a.com,alpha,super_admin,0.0,0.0,0.0,2
2,a@w.com,waiter alpha,waiter,2.0,24.26,5.0,2
3,a@u.com,user one,user,0.0,0.0,0.0,2
4,a@o.com,owner,restaurant_owner,0.0,0.0,0.0,2
7,owner1@example.com,owner1234,restaurant_owner,0.0,0.0,0.0,2
8,seeded.user.1@example.com,seeded_user_1,user,8.0,3346.22,18.0,0
9,seeded.user.2@example.com,seeded_user_2,user,9.0,2773.3199999999997,13.0,1
10,seeded.user.3@example.com,seeded_user_3,user,10.0,1659.76,8.0,2
11,seeded.user.4@example.com,seeded_user_4,user,11.0,2071.62,12.0,1
12,seeded.user.5@example.com,seeded_user_5,user,12.0,1602.71,9.0,2
13,seeded.user.6@example.com,seeded_user_6,user,13.0,2504.3900000000003,13.0,1
14,seeded.user.7@example.com,seeded_user_7,user,14.0,1397.92,11.0,2
15,seeded.user.8@example.com,seeded_user_8,user,15.0,2447.18,14.0,1
16,seeded.user.9@example.com,seeded_user_9,user,16.0,2353.95,13.0,1
17,seeded.user.10@example.com,seeded_user_10,user,17.0,3257.68,18.0,0
18,seeded.user.11@example.com,seeded_user_11,user,18.0,2229.36,15.0,1
19,seeded.user.12@example.com,seeded_user_12,user,19.0,1901.12,10.0,1
20,seeded.user.13@example.com,seeded_user_13,user,20.0,892.48,6.0,2
21,seeded.user.14@example.com,seeded_user_14,user,21.0,2902.5,14.0,0
22,seeded.user.15@example.com,seeded_user_15,user,22.0,2962.93,10.0,0
23,seeded.user.16@example.com,seeded_user_16,user,23.0,3483.58,12.0,0
24,seeded.user.17@example.com,seeded_user_17,user,24.0,1524.4499999999998,7.0,2
25,seeded.user.18@example.com,seeded_user_18,user,25.0,3786.43,11.0,0
26,seeded.user.19@example.com,seeded_user_19,user,26.0,1428.96,12.0,2
27,seeded.user.20@example.com,seeded_user_20,user,27.0,2120.01,10.0,1
28,seeded.user.21@example.com,seeded_user_21,user,28.0,1670.08,11.0,2
29,seeded.user.22@example.com,seeded_user_22,user,29.0,4804.91,18.0,0
30,seeded.user.23@example.com,seeded_user_23,user,30.0,1203.83,6.0,2
31,seeded.user.24@example.com,seeded_user_24,user,31.0,2582.88,16.0,1
32,seeded.user.25@example.com,seeded_user_25,user,32.0,3205.2599999999998,14.0,0
33,seeded.user.26@example.com,seeded_user_26,user,33.0,1099.2,10.0,2
34,seeded.user.27@example.com,seeded_user_27,user,34.0,1430.07,9.0,2
35,seeded.user.28@example.com,seeded_user_28,user,35.0,2914.33,14.0,0
36,seeded.user.29@example.com,seeded_user_29,user,36.0,1683.1799999999998,11.0,2
37,seeded.user.30@example.com,seeded_user_30,user,37.0,3311.28,19.0,0
38,seeded.user.31@example.com,seeded_user_31,user,38.0,3204.31,17.0,0
39,seeded.user.32@example.com,seeded_user_32,user,39.0,4553.57,21.0,0
40,seeded.user.33@example.com,seeded_user_33,user,40.0,2424.79,10.0,1
